,MAE,RMSE,R,Lag
2015/16_78,2.76,4.4,0.871,9.0
2016/17_78,1.624,2.571,0.902,-17.0
2017/18_78,3.496,4.386,0.962,5.0
2014/15_79,1.837,2.811,0.929,-1.0
2015/16_79,2.806,3.721,0.862,-59.0
2016/17_79,1.759,2.771,0.904,-9.0
2017/18_79,3.774,5.312,0.97,6.0
2014/15_80,2.138,3.412,0.904,-1.0
2015/16_80,2.556,3.573,0.875,-59.0
2016/17_80,1.799,2.781,0.882,-19.0
2017/18_80,3.103,4.016,0.981,5.0
2014/15_81,7.734,9.852,0.789,-1.0
2015/16_81,7.992,10.39,0.755,12.0
2016/17_81,2.869,4.283,0.891,-12.0
2017/18_81,10.683,17.823,0.805,16.0
2014/15_82,2.268,3.314,0.915,-1.0
2015/16_82,2.832,4.411,0.866,-60.0
2016/17_82,1.587,2.372,0.899,-16.0
2017/18_82,4.126,6.661,0.971,5.0
2014/15_83,2.283,3.606,0.923,-1.0
2015/16_83,2.996,4.837,0.904,-25.0
2016/17_83,1.843,2.914,0.911,-10.0
2017/18_83,3.747,4.887,0.955,-12.0
2014/15_84,2.327,3.671,0.888,6.0
2015/16_84,2.546,3.586,0.862,-83.0
2016/17_84,1.672,2.648,0.906,-19.0
2017/18_84,3.974,4.818,0.968,5.0
2014/15_85,6.669,8.829,0.841,11.0
2015/16_85,2.921,3.956,0.826,11.0
2016/17_85,2.831,4.162,0.864,-10.0
2017/18_85,10.697,17.843,-0.785,187.0
2014/15_86,2.244,3.504,0.916,-1.0
2015/16_86,2.817,4.366,0.873,-25.0
2016/17_86,1.612,2.367,0.905,-16.0
2017/18_86,3.71,5.019,0.956,-5.0
2014/15_87,2.234,3.51,0.925,-1.0
2015/16_87,2.629,3.633,0.875,-59.0
2016/17_87,1.58,2.379,0.912,-16.0
2017/18_87,4.346,6.795,0.937,-12.0
2014/15_88,1.741,2.679,0.918,-1.0
2015/16_88,2.783,4.396,0.891,-25.0
2016/17_88,1.683,2.621,0.911,-16.0
2017/18_88,3.813,5.581,0.967,5.0
2014/15_89,4.964,7.221,0.835,4.0
2015/16_89,2.5,3.785,0.874,17.0
2016/17_89,3.386,4.858,0.8,-10.0
2017/18_89,13.089,17.337,0.88,18.0
2014/15_90,2.148,3.351,0.905,-1.0
2015/16_90,2.759,4.114,0.877,-60.0
2016/17_90,1.491,2.327,0.922,-19.0
2017/18_90,3.395,4.751,0.966,12.0
2014/15_91,2.112,2.647,0.916,-1.0
2015/16_91,2.571,3.751,0.861,-25.0
2016/17_91,1.76,2.73,0.923,-16.0
2017/18_91,3.983,5.793,0.935,-4.0
2014/15_92,1.945,3.061,0.908,6.0
2015/16_92,2.922,3.899,0.826,-59.0
2016/17_92,1.664,2.556,0.915,-17.0
2017/18_92,3.68,4.982,0.965,5.0
2014/15_93,2.679,4.072,0.894,7.0
2015/16_93,3.217,5.248,0.87,11.0
2016/17_93,2.498,3.697,0.875,-9.0
2017/18_93,4.743,8.375,0.897,16.0
2014/15_94,1.999,2.772,0.914,-1.0
2015/16_94,2.747,4.147,0.875,9.0
2016/17_94,1.522,2.357,0.908,-18.0
2017/18_94,4.173,5.967,0.914,-10.0
2014/15_95,1.811,2.781,0.92,-1.0
2015/16_95,2.761,4.331,0.877,-60.0
2016/17_95,1.633,2.537,0.914,-16.0
2017/18_95,3.855,5.437,0.959,5.0
2014/15_96,1.728,2.739,0.931,-1.0
2015/16_96,2.621,3.679,0.858,8.0
2016/17_96,1.703,2.438,0.913,-17.0
2017/18_96,4.283,5.506,0.938,-4.0
2014/15_97,2.638,3.099,0.903,-1.0
2015/16_97,2.401,3.143,0.898,11.0
2016/17_97,1.881,2.909,0.896,-15.0
2017/18_97,4.703,5.596,0.949,7.0
2014/15_98,2.09,2.693,0.908,-1.0
2015/16_98,3.149,5.17,0.878,-25.0
2016/17_98,1.432,2.244,0.915,-17.0
2017/18_98,3.738,4.959,0.971,5.0
2014/15_99,2.261,3.563,0.926,-1.0
2015/16_99,2.903,4.72,0.909,-25.0
2016/17_99,1.721,2.652,0.906,-16.0
2017/18_99,3.838,5.581,0.967,5.0
2014/15_100,1.989,3.201,0.93,-1.0
2015/16_100,2.833,4.455,0.884,-25.0
2016/17_100,1.708,2.698,0.908,-17.0
2017/18_100,4.219,6.022,0.964,5.0
2014/15_101,3.217,3.584,0.894,1.0
2015/16_101,6.042,7.141,0.857,12.0
2016/17_101,1.665,2.575,0.887,-17.0
2017/18_101,5.384,7.641,0.847,14.0
2014/15_102,1.911,2.853,0.924,-1.0
2015/16_102,2.758,4.346,0.872,-60.0
2016/17_102,1.417,2.118,0.914,-19.0
2017/18_102,3.83,5.606,0.961,5.0
2014/15_103,1.872,2.986,0.931,-1.0
2015/16_103,2.643,3.9,0.872,-25.0
2016/17_103,1.754,2.723,0.904,-16.0
2017/18_103,4.445,7.334,0.967,5.0
2014/15_104,1.88,2.864,0.909,6.0
2015/16_104,3.038,5.012,0.879,-60.0
2016/17_104,1.653,2.589,0.916,-18.0
2017/18_104,4.4,6.036,0.954,6.0
2014/15_105,2.807,3.618,0.916,6.0
2015/16_105,3.506,4.734,0.828,-83.0
2016/17_105,1.515,2.222,0.907,-16.0
2017/18_105,4.994,5.954,0.972,7.0
2014/15_106,1.991,2.506,0.918,-1.0
2015/16_106,2.726,4.006,0.858,-59.0
2016/17_106,1.442,2.085,0.913,-16.0
