,Likelihood_Loss,KL_Loss,Loss,mae,mse
96,149.0086669921875,592.8337097167969,[32.54401956629915],[3.9770257],[88.258224]
97,146.96035766601562,591.5326957702637,[29.188458078963773],[3.025955],[33.89877]
98,122.96782684326172,590.3279113769531,[30.491681637766916],[3.3051565],[44.75582]
99,158.287841796875,588.9709815979004,[29.00287914452403],[3.1245458],[50.939075]
100,113.10308837890625,587.7760581970215,[29.988472821605257],[3.4174843],[52.539013]
101,125.94734954833984,586.505989074707,[29.37053247829021],[3.4787152],[57.533916]
102,131.5238800048828,585.1240463256836,[28.615865652163087],[3.0663295],[50.255196]
103,132.55287170410156,583.6555023193359,[28.487348927881566],[3.0911202],[55.830334]
104,130.11318969726562,582.450611114502,[29.963938825305274],[3.6066828],[62.58573]
105,128.0524139404297,581.0575752258301,[28.338836038839794],[3.17329],[39.079197]
106,126.92607116699219,579.6550483703613,[29.620843291503004],[3.301087],[49.300457]
107,125.42694091796875,578.2512130737305,[28.211319279979204],[3.1796234],[47.47237]
108,130.02650451660156,576.7044830322266,[26.87078382171236],[2.799123],[31.446554]
109,122.02641296386719,575.2379760742188,[28.24649062188995],[3.038416],[37.872257]
110,133.1090545654297,573.9920234680176,[28.122486698576058],[3.3850102],[56.686512]
111,123.26215362548828,572.5881042480469,[28.130232643508204],[3.6346562],[72.690125]
112,127.9649429321289,571.1557159423828,[28.437650970816247],[3.5695546],[59.160812]
113,123.89137268066406,569.8955955505371,[28.292321887342414],[3.6805334],[63.6488]
114,111.76953887939453,568.2182273864746,[26.350499989291585],[2.7528002],[46.054253]
115,124.98030090332031,566.3386688232422,[26.408525271835845],[2.8678627],[34.043316]
116,109.90514373779297,564.8342971801758,[27.812674500658712],[3.4071877],[49.87719]
117,123.41634368896484,563.3049507141113,[26.792293308843306],[3.1075792],[39.58517]
118,110.55147552490234,561.7458763122559,[27.40709141339333],[3.1959226],[44.164745]
119,102.1586685180664,560.1462364196777,[26.614319296582423],[3.1971505],[53.84836]
120,115.88267517089844,558.6376953125,[26.404186333393653],[3.100947],[48.735645]
121,89.71578216552734,557.218563079834,[26.844249321073203],[3.1704087],[48.014683]
122,118.67288208007812,555.6497230529785,[26.981767662645343],[3.4146636],[70.51149]
123,107.45629119873047,554.0767974853516,[26.346786471993852],[2.8775473],[44.105587]
124,125.89328002929688,552.418514251709,[26.697670122758886],[3.1296062],[47.895695]
125,107.36752319335938,550.8459243774414,[26.113371285551946],[2.8442137],[39.372345]
126,108.88655090332031,549.4543533325195,[27.840947536061886],[3.8245997],[69.94047]
127,122.43762969970703,547.8295097351074,[26.307894890644782],[3.1325972],[44.55057]
128,113.01913452148438,546.3207092285156,[26.274446593194703],[3.304623],[55.082825]
129,107.47803497314453,544.5482406616211,[25.100998361978867],[2.8192844],[34.26869]
130,121.35762786865234,543.1119117736816,[27.50168119678509],[3.8674366],[83.034485]
131,113.36621856689453,541.6136283874512,[25.391785953636898],[3.096074],[42.67729]
132,114.78712463378906,540.0531158447266,[25.63593104792023],[3.079406],[46.663387]
133,117.5190658569336,538.4199829101562,[26.11472331721035],[3.4262745],[54.375607]
134,106.91578674316406,536.5930213928223,[24.768620579755385],[2.6863396],[28.836304]
135,113.79217529296875,534.975700378418,[25.78069135486088],[3.1377585],[39.606335]
136,114.26525115966797,533.3416442871094,[24.85180038973937],[2.9345274],[53.238674]
137,128.1366424560547,531.6543045043945,[25.04931238354244],[2.9162812],[35.21633]
138,114.44609832763672,529.8365287780762,[24.223511562476684],[2.895116],[39.863197]
139,117.86612701416016,528.1585235595703,[24.713441546728635],[3.072958],[45.030678]
140,116.56729125976562,526.2062950134277,[24.180793819791802],[2.4885063],[26.941021]
141,105.21794128417969,524.364185333252,[24.417221334931003],[2.883142],[43.13903]
142,106.67338562011719,522.340202331543,[23.270311918511336],[2.5809476],[28.95977]
143,112.04584503173828,520.3661804199219,[23.758942060535215],[2.8128536],[33.29419]
144,99.33636474609375,518.4180679321289,[23.724941689661087],[2.6184833],[37.98153]
145,126.00131225585938,516.4650421142578,[23.912763970469666],[2.8506227],[39.48844]
146,117.27880859375,514.5681457519531,[23.537701829450775],[2.5864847],[28.322842]
147,108.53987121582031,512.7621116638184,[23.996788794657952],[2.9220016],[42.71893]
148,110.42333984375,510.9615821838379,[24.038927014786303],[3.077444],[52.550858]
149,98.36717987060547,509.1216506958008,[23.21795198907106],[2.9475884],[49.46704]
150,95.17344665527344,507.2987937927246,[24.76151791429784],[3.4023933],[70.23901]
151,99.85542297363281,505.45176696777344,[23.148187787754626],[2.6679368],[28.397749]
152,121.45513153076172,503.6274299621582,[23.38062952832535],[2.9650402],[37.07991]
153,116.65554809570312,501.72169494628906,[22.858093333405915],[2.7148426],[32.017384]
154,96.34027099609375,499.8436393737793,[22.80832781765245],[2.6940649],[29.810474]
155,101.81189727783203,497.75393295288086,[22.07644250696997],[2.334455],[21.817747]
156,121.58615112304688,495.80978775024414,[23.289359365946265],[3.0272017],[39.633945]
157,107.3936767578125,494.0069007873535,[22.544115812779943],[2.8053012],[35.04731]
158,102.68251037597656,491.9551658630371,[22.350300646092666],[2.512862],[31.268467]
159,110.70989990234375,490.0855407714844,[23.134541986903802],[3.0770013],[53.12299]
160,102.97161102294922,488.3147392272949,[22.718000882067066],[2.9928172],[48.42914]
161,90.0777359008789,486.36219024658203,[21.920036321793965],[2.5008824],[25.705404]
162,114.12834930419922,484.3078727722168,[21.857527450213663],[2.4179678],[22.23299]
163,112.75260162353516,482.4619483947754,[22.164784464950703],[2.7744784],[31.141129]
164,103.49860382080078,480.7164001464844,[22.687085151084762],[3.0033808],[38.436527]
165,107.19380187988281,478.60873794555664,[21.451356058126603],[2.4356492],[26.359255]
166,98.02601623535156,476.5840301513672,[21.62372413654057],[2.5445719],[30.299139]
167,106.2846450805664,474.4758758544922,[21.84888377633274],[2.7246475],[36.791565]
